object_id,mission,proba_planet,confidence_pct,category,nasa_category,label_text,period,t0,duration,depth,rp,teq,insolation,stellar_teff,stellar_logg,stellar_radius,ra,dec
120826158,tess,0.022973008817777467,2.3,non-planet,candidate,PC,2.5693728,2459770.010155,2.471,290.0,2.18392,1567.0,1001.28,6156.0,4.25196,1.34,286.362495,37.02599
275758701,tess,0.001222852324722707,0.12,non-planet,candidate,PC,1.18803,2460559.123436,1.322,3840.0,,1720.9421672,2072.9370109,,,,305.270928,43.675167
436166416,tess,0.0023635659569187562,0.24,non-planet,candidate,PC,3.6001959,2459440.840426,2.887,7820.0,16.1928,1619.0,1141.26,7172.0,4.16,1.75,306.396098,27.816089
305943739,tess,0.0027846066527648285,0.28,non-planet,non-planet,FP,5.3073459,2459441.270166,3.714,200.0,2.05347,1313.0,494.046,5821.4,4.16,1.42,295.468588,23.377283
120183168,tess,0.00434424730769882,0.43,non-planet,candidate,PC,3.4902115,2460338.925724,2.449,366.0,2.05978,1352.0,555.873,6111.0,4.43,1.09,284.361887,39.076184
120183168,tess,0.00434424730769882,0.43,non-planet,candidate,PC,5.5387718,2460335.262371,3.163,439.0,2.07738,1219.0,366.683,6111.0,4.43,1.09,284.361887,39.076184
120183168,tess,0.004622999460818563,0.46,non-planet,candidate,PC,3.4902115,2460338.925724,2.449,366.0,2.05978,1352.0,555.873,6111.0,4.43,1.09,284.361887,39.076184
120183168,tess,0.004622999460818563,0.46,non-planet,candidate,PC,5.5387718,2460335.262371,3.163,439.0,2.07738,1219.0,366.683,6111.0,4.43,1.09,284.361887,39.076184
77951245,tess,0.0030907589775155896,0.31,non-planet,non-planet,APC,10.7148661,2459182.487384,2.1121584,56325.9173745,14.037554,339.8915287,3.1541502,3054.0,4.438,0.422267,79.005088,-31.412694
406190563,tess,2.465081091912344e-06,0.0,non-planet,non-planet,FP,1.773346,2459446.222222,3.291,710.0,7.95884,2492.0,6411.52,6802.0,3.63,3.08,306.244087,30.348186
22069559,tess,2.6673616094776243e-05,0.0,non-planet,candidate,PC,2.0348789,2460337.772433,2.379,176.0,3.57655,4867.0,93196.9,8279.0,3.81,2.94,292.723724,30.433453
239372503,tess,4.2874562773543014e-05,0.0,non-planet,non-planet,FP,0.8560277,2460366.918358,1.587,247.0,3.15801,,46825.3,11798.0,4.18,2.38,311.435385,43.445151
