object_id,mission,proba_planet,confidence_pct,category,nasa_category,label_text,period,rp,teq,insolation,eccentricity,sma,sy_snum,sy_pnum,stellar_teff,stellar_logg,stellar_radius,stellar_mass,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
EPIC 215234145.01,k2,3.02720093000728e-08,0.0,non-planet,candidate,CANDIDATE,1.2539936,31.7,,,,,1.0,0.0,,,0.948,,296.2215504,-24.64935,328.975,13.536,11.17,13.1757
EPIC 215353525.01,k2,9.54704396375394e-08,0.0,non-planet,candidate,CANDIDATE,0.9085915,23.1,,,,,1.0,0.0,,,0.95,,294.0772945,-24.396431,664.39,15.005,12.784,14.7823
EPIC 215358983.01,k2,7.928227625803096e-08,0.0,non-planet,candidate,CANDIDATE,6.421719,15.3,,,,,1.0,0.0,,,1.1,,294.4801973,-24.3849513,1159.18,14.03,12.328,13.7995
EPIC 215364084.01,k2,8.243330047034682e-08,0.0,non-planet,candidate,CANDIDATE,2.74324,28.0,,,,,1.0,0.0,,,4.88,,281.5128962,-24.3741791,1634.87,14.245,11.176,13.8054
EPIC 215381481.01,k2,3.400345163641155e-08,0.0,non-planet,candidate,CANDIDATE,0.533393,19.5,,,,,1.0,0.0,,,14.8,,281.7557687,-24.337656,7293.03,13.608,9.774,12.9376
EPIC 215389654.01,k2,3.966562564059081e-08,0.0,non-planet,candidate,CANDIDATE,23.510811,18.4,,,,,1.0,0.0,,,0.97,,283.5497366,-24.3209467,323.937,13.713,11.173,13.3212
EPIC 215502661.01,k2,6.003752594544733e-08,0.0,non-planet,candidate,CANDIDATE,21.521554,2.40003126,,,,,1.0,0.0,5694.0,4.22,1.160188,,282.1927118,-24.0843549,247.207,12.397,9.919,11.9537
EPIC 215525178.01,k2,1.655984066336735e-07,0.0,non-planet,candidate,CANDIDATE,5.33988,1.27,,,,,1.0,0.0,,,0.611,,283.5749543,-24.0374337,184.786,15.57,10.998,13.9598
EPIC 215714765.01,k2,1.194172912321646e-07,0.0,non-planet,candidate,CANDIDATE,6.689131,29.9,,,,,1.0,0.0,,,1.011,,293.9234664,-23.678453,739.351,15.051,12.871,14.8065
EPIC 215717520.01,k2,5.967600220957108e-08,0.0,non-planet,candidate,CANDIDATE,,13.66,,,,,1.0,0.0,,,0.738,,280.7874548,-23.6734905,177.075,13.519,10.502,13.1079
EPIC 215739094.01,k2,3.4770247748414346e-08,0.0,non-planet,candidate,CANDIDATE,3.6322288,32.2,,,,,1.0,0.0,,,2.67,,289.1922258,-23.6324752,682.985,12.098,10.234,11.7935
