object_id,mission,proba_planet,confidence_pct,category,nasa_category,label_text,period,t0,duration,depth,rp,teq,insolation,stellar_teff,stellar_logg,stellar_radius,ra,dec,koi_model_snr,koi_kepmag
9006449,kepler,0.999955168354323,100.0,planet,planet,CONFIRMED,33.8845825,159.98819,6.538,224.1,1.74,533.0,19.13,5607.0,4.447,0.886,285.34583,45.367779,17.2,14.447
9006449,kepler,0.9999905268217468,100.0,planet,planet,CONFIRMED,12.64504291,138.63149,9.117,200.4,1.55,741.0,71.28,5607.0,4.447,0.886,285.34583,45.367779,32.7,14.447
9006449,kepler,0.9999905268217468,100.0,planet,planet,CONFIRMED,21.5262958,132.28787,8.392,190.0,1.36,621.0,35.03,5607.0,4.447,0.886,285.34583,45.367779,23.4,14.447
9006449,kepler,0.9999905268217468,100.0,planet,planet,CONFIRMED,33.8845825,159.98819,6.538,224.1,1.74,533.0,19.13,5607.0,4.447,0.886,285.34583,45.367779,17.2,14.447
9006449,kepler,0.9999372406535817,99.99,planet,planet,CONFIRMED,12.64504291,138.63149,9.117,200.4,1.55,741.0,71.28,5607.0,4.447,0.886,285.34583,45.367779,32.7,14.447
9006449,kepler,0.9999372406535817,99.99,planet,planet,CONFIRMED,21.5262958,132.28787,8.392,190.0,1.36,621.0,35.03,5607.0,4.447,0.886,285.34583,45.367779,23.4,14.447
9006449,kepler,0.9999372406535817,99.99,planet,planet,CONFIRMED,33.8845825,159.98819,6.538,224.1,1.74,533.0,19.13,5607.0,4.447,0.886,285.34583,45.367779,17.2,14.447
4043190,kepler,0.999952281180094,100.0,planet,planet,CONFIRMED,6.40087137,136.8824,2.5561,133.6,1.91,1109.0,357.44,5426.0,4.107,1.421,287.30786,39.14473,24.4,12.988
3640905,kepler,0.9998323746343349,99.98,planet,planet,CONFIRMED,30.1599411,138.51774,7.874,175.9,4.54,836.0,115.69,5010.0,3.62,3.051,290.10718,38.702229,32.3,11.584
3640905,kepler,0.9998323746343349,99.98,planet,planet,CONFIRMED,51.0771048,152.35694,11.233,141.5,3.66,702.0,57.28,5010.0,3.62,3.051,290.10718,38.702229,24.1,11.584
3640905,kepler,0.9998173870813492,99.98,planet,planet,CONFIRMED,30.1599411,138.51774,7.874,175.9,4.54,836.0,115.69,5010.0,3.62,3.051,290.10718,38.702229,32.3,11.584
3640905,kepler,0.9998173870813492,99.98,planet,planet,CONFIRMED,51.0771048,152.35694,11.233,141.5,3.66,702.0,57.28,5010.0,3.62,3.051,290.10718,38.702229,24.1,11.584
10790387,kepler,0.9994896046018896,99.95,planet,planet,CONFIRMED,117.93110803,219.704226,5.8796,8506.6,10.36,418.0,7.2,6392.0,4.425,1.072,289.02017,48.119808,212.5,15.128
7303287,kepler,0.9998003233800006,99.98,planet,planet,CONFIRMED,125.86540191,236.659731,9.0191,12390.0,12.37,394.0,5.71,5933.0,4.342,1.115,297.46533,42.882839,544.7,13.956
7303287,kepler,0.9998003233800006,99.98,planet,planet,CONFIRMED,34.5439452,132.68453,3.482,429.8,2.67,607.0,32.02,5933.0,4.342,1.115,297.46533,42.882839,23.4,13.956
7303287,kepler,0.9998003233800006,99.98,planet,planet,CONFIRMED,330.071558,340.9871,4.295,616.7,2.94,286.0,1.58,5933.0,4.342,1.115,297.46533,42.882839,10.6,13.956
7303287,kepler,0.9999869215823095,100.0,planet,planet,CONFIRMED,125.86540191,236.659731,9.0191,12390.0,12.37,394.0,5.71,5933.0,4.342,1.115,297.46533,42.882839,544.7,13.956
7303287,kepler,0.9999869215823095,100.0,planet,planet,CONFIRMED,34.5439452,132.68453,3.482,429.8,2.67,607.0,32.02,5933.0,4.342,1.115,297.46533,42.882839,23.4,13.956
7303287,kepler,0.9999869215823095,100.0,planet,planet,CONFIRMED,330.071558,340.9871,4.295,616.7,2.94,286.0,1.58,5933.0,4.342,1.115,297.46533,42.882839,10.6,13.956
11512246,kepler,0.9999401367297676,99.99,planet,planet,CONFIRMED,7.10695741,138.32271,5.1462,131.0,1.72,1157.0,422.8,5761.0,4.091,1.518,294.21893,49.479221,33.8,13.438
11512246,kepler,0.9999401367297676,99.99,planet,planet,CONFIRMED,10.74241765,133.2867,6.0633,415.2,3.06,1008.0,243.94,5761.0,4.091,1.518,294.21893,49.479221,95.4,13.438
11512246,kepler,0.9999401367297676,99.99,planet,planet,CONFIRMED,15.27443889,147.57983,6.0765,206.7,2.17,896.0,152.62,5761.0,4.091,1.518,294.21893,49.479221,40.3,13.438
11517719,kepler,0.999307083456321,99.93,planet,planet,CONFIRMED,2.495780169,135.336948,4.2721,25070.0,15.75,1408.0,929.47,6039.0,4.426,0.992,296.50739,49.457291,171.4,14.152
12252424,kepler,0.999995751851285,100.0,planet,planet,CONFIRMED,8.925079516,139.71389,2.6766,977.5,2.36,628.0,36.89,4728.0,4.628,0.693,287.99789,50.944328,135.8,13.461
12252424,kepler,0.999995751851285,100.0,planet,planet,CONFIRMED,4.75400072,128.547155,2.5394,748.7,2.0,775.0,85.23,4728.0,4.628,0.693,287.99789,50.944328,141.4,13.461
10874614,kepler,0.999969835785562,100.0,planet,planet,CONFIRMED,3.234699282,121.4865708,3.59385,10559.0,13.06,1356.0,797.62,5640.0,4.236,1.291,296.83725,48.239944,3003.8,13.303
6541920,kepler,0.9999501640148396,100.0,planet,planet,CONFIRMED,118.3786735,287.28744,9.5574,1083.3,3.4,376.0,4.75,5657.0,4.364,1.046,297.11511,41.909142,83.1,13.709
6541920,kepler,0.9999501640148396,100.0,planet,planet,CONFIRMED,10.30401132,138.50377,4.2246,316.1,1.84,849.0,122.98,5657.0,4.364,1.046,297.11511,41.909142,53.8,13.709
6541920,kepler,0.9999501640148396,100.0,planet,planet,CONFIRMED,13.02493307,138.176157,4.5706,778.4,2.88,786.0,90.1,5657.0,4.364,1.046,297.11511,41.909142,119.3,13.709
